Date,Industrial_Production_Index_UK,Exchange_Rate_UK,International_Reserves_UK,CPI_Index_UK,Industrial_Production_Index_Germany,Exchange_Rate_Germany,International_Reserves_Germany,CPI_Index_Germany
1986-05-01,69.8294476948152,0.656906,19312.7686046777,49.2726835583503,69.8175483758386,2.228199999,49154.4259258018,63.1508275191578
1986-06-01,70.1076526657109,0.663719,19749.8403221818,49.2726835583503,72.0777422275188,2.236499999,50858.589418421,63.1508275191578
1986-07-01,68.6238928209339,0.662699,19980.5304327206,49.1215461438875,70.1702027356753,2.1532,51884.5672511209,62.9410202005189
1986-08-01,63.5234683545132,0.672789,19933.6651620845,49.2726835583503,63.9506622076474,2.0636,53410.9336224585,62.7312241837179
1986-09-01,74.929872161236,0.679133,23486.1681793914,49.524590345848,74.4100699255293,2.0401,55748.3076482485,62.8011599565975
1986-10-01,80.401236588851,0.700417,22909.1727718249,49.6253486221565,79.1468591678805,2.0047,59466.1961247481,62.5913526379587
1986-11-01,77.3409819089985,0.702389,23242.0976955848,50.0284039208434,76.1092227501967,2.0264,58521.123426202,62.521416865079
1986-12-01,74.5589322000417,0.696096,23319.7723875576,50.1795413353061,71.4445673541758,1.9916,58787.8215584113,62.5913526379587
1987-01-01,72.9824373649662,0.664052,23898.0949423248,50.3810689846495,67.6294883704886,1.8581,69839.3760994274,62.9410202005189
1987-02-01,75.3008121224302,0.65514,24167.8010669768,50.582596633993,70.3866042746659,1.8265,69917.861123695,63.0109559733985
1987-03-01,83.2760212881063,0.628116,27300.6162529087,50.6833549103015,76.1092227501967,1.8339,68020.7723773524,63.0109559733985
1987-04-01,73.5388473067576,0.613425,30234.7497191525,51.2879378583318,72.9273186398526,1.811,69668.2479161231,63.1508275191578
1987-05-01,71.4986775201893,0.59982,34896.770665809,51.3383058997596,71.7972217140124,1.7863,70922.0622409134,63.1508275191578
1987-06-01,74.8371371709375,0.61348,34508.208061754,51.3383058997596,71.5888350468363,1.8184,69771.5180304123,63.2207632920374
1987-07-01,72.2405574425778,0.621163,34875.4784762967,51.2879378583318,68.4069309364921,1.847,68277.6859335928,63.2207632920374
1987-08-01,67.140132976157,0.626973,34665.5813893343,51.4390752727945,64.9445063126415,1.8581,69364.291309828,63.1508275191578
1987-09-01,77.4337168992971,0.608124,34943.1650735153,51.5902126872573,74.9069919780264,1.8129,70996.0980029156,63.0808917462781
1987-10-01,82.5341413657179,0.602222,42349.2204240703,51.8421194747549,79.9964355802141,1.8021,74568.1893299747,63.1508275191578
1987-11-01,81.9777314239266,0.563414,43222.6747400091,52.0940262622526,77.8083755748641,1.6812,84675.8725163738,63.1508275191578
1987-12-01,78.2683318119842,0.547189,47507.1879584049,52.0436471240984,72.9994524861827,1.6332,87412.6509248766,63.2207632920374
1988-01-01,76.2281620254159,0.554719,45128.4129864451,52.0436471240984,69.6812955549926,1.6517,84552.2310504158,63.500495081718
1988-02-01,80.0302966276568,0.569359,44833.5495066349,52.1546143887553,72.2941437665094,1.6976,81428.6754642833,63.6403666274772
1988-03-01,88.8401207060199,0.54646,47864.1264514518,52.3765489180692,79.0747253215501,1.678,81194.705137202,63.6403666274772
1988-04-01,75.4862821030274,0.533136,48009.102290816,53.0423525060107,73.7768950521862,1.6733,81937.114157957,63.7802381732365
1988-05-01,77.3409819089986,0.534529,48135.1852625258,53.2642870353246,72.7910658190065,1.6934,79187.1946877074,63.9201097189957
1988-06-01,79.0102117343726,0.561462,46891.7378768021,53.4862215646384,75.4039140305233,1.7557,72312.8696421078,63.9900341900374
1988-07-01,73.0751723552648,0.58647,47667.724783488,53.4862215646384,69.4648940160019,1.844,68637.0375263125,63.9900341900374
1988-08-01,73.5388473067576,0.589082,48299.3050148784,53.8191233586092,69.2565073488257,1.8874,66341.4183866612,63.9201097189957
1988-09-01,82.9978163172107,0.594033,48188.2334055951,54.0410578879231,78.6499371153832,1.8669,65277.5626735394,63.9900341900374
1988-10-01,84.1106362007934,0.576306,48891.3834775704,54.3739596818938,82.5371499454006,1.8215,67768.7221400509,64.059981264755
1988-11-01,88.2837107642286,0.553232,50434.1086531761,54.7068614758646,80.9822648133936,1.7497,69548.803245032,64.2697772815559
1988-12-01,79.1956817149697,0.547254,50569.2066181319,54.7068614758646,76.8866653162001,1.7555,66217.2786189938,64.4096488273152
1989-01-01,80.4939715791496,0.563114,49490.8428987179,54.9287960051785,74.1295494120228,1.8304,62282.520139188,64.9691237085142
1989-02-01,81.0503815209409,0.570181,49914.1210487367,55.1507305344923,74.7627242853658,1.8521,63127.1408774379,65.1789310271531
