Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France,Nominal_Exchange_Growth,Real_Exchange_Rate,Real_Exchange_Growth,Real_Exchange_Index,France_Inflation,Industrial_Production_Growth,Industrial_Production_YoY,France_Reserves_Index,US_Inflation,US_Reserves_Index,Variable
1972-05-01,13344.5165326372,19.077711866933,67.381766310148,5.0140393103196,8476.62977147781,17.0435622657446,-0.004612916165494085,5.612465032853491,-0.007637594432263972,-0.5486450930201371,0.005464940358405723,-0.006025911419102026,0.10131864463361717,483.34586492169933,0.0024096385542216048,62.130805483898484,
1972-06-01,13338.5965500153,19.1235717512285,67.2694293247871,5.01579976952479,9398.41208515218,17.1361875098981,0.0003511059838654518,5.597511507556623,-0.002664341819385019,-0.19139247027295056,0.005434617640917905,-0.0016671718702627736,0.06672064777328002,535.906809741021,0.002403846153845368,62.103242605329626,
1972-07-01,13089.5908500044,19.2152915198195,58.2109833234077,5.00250125087556,9923.7924120773,17.2751306551233,-0.002651325662963999,5.564329543020148,-0.0059279850504424525,-0.4258356395153469,0.00810817138555131,-0.13465917716714726,0.0354223433242522,565.8645188042298,0.004796163069543002,60.94389564255871,
1972-08-01,13123.150863038,19.261151404115,41.3195857064048,5.00350245196655,9960.55697425825,17.3677558992768,0.00020014009807889366,5.548973559802356,-0.0027597185067973484,-0.19824383584379549,0.005361768081680651,-0.29017543859649186,0.15533980582524265,567.9608707253213,0.0023866348448682295,61.10014788569753,
1972-09-01,13216.7965934605,19.3070112884105,67.494103295509,5.00575662036371,10019.121492994,17.4758169244576,0.0004505180958338517,5.530282217659325,-0.0033684323671019367,-0.24197067620843385,0.006221933668776325,0.6334651507661895,0.055750798722044914,571.3002778629672,0.0023809523809517064,61.5361535399337,
1972-10-01,13312.465178233,19.3987310570015,70.7110260581184,5.02361097181873,10015.4951969149,17.63019585071,0.00356676378999099,5.527543709810174,-0.0004951841047833305,-0.035571452718576854,0.008833860352264411,0.04766227871084916,0.07365483020623453,571.0935028518994,0.004750593824226712,61.981577412494595,
1972-11-01,13306.3509064832,19.4445909412971,71.9977951631621,5.04057664222192,10018.6546345168,17.7382674338806,0.003377186350289385,5.525452318362077,-0.00037835819269693705,-0.027179286314317798,0.006129913932082065,0.018197573656844934,0.06850560775992753,571.2736571280121,0.0023640661938579832,61.95310994214199,
1972-12-01,13150.3223521224,19.4904508255926,72.9373408589084,5.08724627359211,10014.6455144994,17.8308926780341,0.00925878816706538,5.560726830871041,0.006384004507964169,0.45859370750519585,0.005221775153563257,0.013049645390071918,0.08146577831617319,571.0450531150227,0.002358490566036986,61.226655766210236,
1973-01-01,13053.3395064615,19.5363107098881,71.528022315289,5.08362564206617,10009.5289084388,17.8308926780341,-0.0007117075390541405,5.569843970767975,0.0016395590314415287,0.11777740037062935,0.0,-0.01932231867824219,0.07654472794343681,570.7532991457571,0.0023529411764700026,60.77511281939045,
1973-02-01,13195.6212711269,19.6738903627746,73.8053993821521,4.76485443392409,10640.3401908925,17.8772105791057,-0.06270548435044077,5.24372766728871,-0.058550348123001306,-4.205952735144553,0.0025976209889175816,0.03183894917190133,0.10302197802197766,606.7227862107553,0.007042253521124975,61.43756324408072,
