Date,International_Reserves_US,CPI_Index_US,Industrial_Production_Index_France,Exchange_Rate_France,International_Reserves_France,CPI_Index_France
1967-10-01,14926.7,15.4547810075875,50.5516434124329,4.93706000393706,6771.31,13.3330623449295
1967-11-01,15437.6,15.500640891883,51.7158630789011,4.93706000393706,7060.37,13.4344929525418
1967-12-01,14830.2,15.5465007761785,52.4817970699985,4.93706000393706,6993.89,13.4457688856042
1968-01-01,14620.0,15.6382205447696,50.9601415410182,4.93706000393706,6936.16,13.5810167344138
1968-02-01,14789.8,15.6840804290651,52.3592476314229,4.93706000393706,6916.28,13.5922821094863
1968-03-01,13926.5,15.7299403133606,53.1762438885935,4.93706000393706,6906.29,13.6035580425487
1968-04-01,13839.7,15.7758001976561,53.1762438885935,4.93706000393706,6916.4,13.6373647257562
1968-05-01,14348.3,15.8216600819516,35.6516741722835,4.93706000393706,6606.67,13.6824473420261
1968-06-01,14062.6,15.9133798505426,45.1186183022482,4.93706000393706,5517.33,13.7275299582959
1968-07-01,14365.8,16.0050996191337,47.9781052023454,4.93706000393706,4850.0,13.7726125745658
1968-08-01,14427.0,16.0509595034292,31.6177551525035,4.93706000393706,4601.0,13.8402364989706
1968-09-01,14633.9,16.0968193877247,52.1856359267741,4.93706000393706,4374.11,13.9304017315103
1968-10-01,14427.5,16.1885391563157,56.2195549465541,4.93706000393706,4272.88,14.0769149553925
1968-11-01,15659.7,16.2343990406112,57.6799357562466,4.93706000393706,3985.85,14.1219975716623
1968-12-01,15709.9,16.2802589249067,57.8535474608954,4.93706000393706,4200.87,14.1558042548699
1969-01-01,15454.0,16.3261188092022,55.9233938033298,4.93706000393706,4215.91,14.3135934118144
1969-02-01,15499.4,16.4178385777933,56.4544413704907,4.93706000393706,4125.92,14.3586760280843
1969-03-01,15758.4,16.5554182306798,56.4544413704907,4.93706000393706,3986.93,14.426299952489
1969-04-01,15947.6,16.6471379992708,58.3845950280563,4.93706000393706,3774.95,14.4939238768938
1969-05-01,16069.9,16.6929978835663,58.2109833234076,4.93706000393706,3636.84,14.5615478012986
1969-06-01,16057.1,16.7847176521574,58.1497086041198,4.93706000393706,3610.84,14.6066304175685
